ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001451316-20-000007	asServiceCompanyTransferAgent	1	Franklin Templeton Investor Services, LLC	084-01036	    
0000019617-20-000283	serviceCompanyTransferAgent	2	Equiniti Trust Co	084-06578	    
0000019617-20-000283	serviceCompanyTransferAgent	1	US Bancorp	085-11357	    
0001073944-20-000002	asServiceCompany	1	Lee Financial Recordkeeping, Inc.	084-05507	3113 Olu Street  Honolulu HI 96816
0001133702-20-000006	asServiceCompany	1	Fidelity Investments Institutional Operations Company LLC	084-01839	245 Summer Street  Boston MA 02210
0000862124-20-000007	serviceCompany	2	Fidelity Business Services India Private Limited	084-06287	Embassy Golf Links Business Park Off Intermediate Ring Road Bangalore K7 560071
0000862124-20-000007	serviceCompany	1	National Financial Services, LLC	084-05888	499 Washington Blvd  Jersey City NJ 07310
0000842657-20-000004	serviceCompany	1	DST Systems, Inc.	084-00448	333 West 11th Street  Kansas City MO 64105
0001018490-20-000005	asServiceCompany	2	Deutsche Bank Trust Company Americas	085-05212	60 Wall Street Mail Stop NYC60-1635 New York NY 10005-2836
0001018490-20-000005	asServiceCompany	1	Deutsche Bank National Trust Company	085-11220	1999 Avenue of the Stars, Ste. 3750  Los Angeles CA 90067
0001557183-20-000001	serviceCompany	1	The Vanguard Group, Inc.	084-00772	100 Vanguard Boulevard V26 Malvern PA 19355-2900
0001654954-20-003936	serviceCompanyTransferAgent	1	ClearTrust, LLC	084-06351	    
0001559963-20-000002	asServiceCompany	1	BNY Mellon Investment Servicing (US) Inc.	084-01761	4400 Computer Drive  Westborough MA 01581
0001559963-20-000002	asServiceCompany	2	The Bank of New York Mellon	085-05006	240 Greenwhich Street  New York NY 10286-0001
0000849542-20-000002	asServiceCompany	4	Banco Popular de Puerto Rico	085-05510	209 Munoz Rivera Ave.  San Juan PR 00936
0000849542-20-000002	asServiceCompany	3	The Bank of New York Mellon	085-05006	240 Greenwhich Street  New York NY 10286
0000849542-20-000002	serviceCompany	2	BNY Mellon International Operations (India) Private Limited	084-06496	L1 Tower S-3 Cybercity, Magarpatta City Hadapsar Pune K7 411013
0000849542-20-000002	asServiceCompany	5	Virtus Fund Services, LLC	084-06485	101 Munson Street Ste 104 Greenfield MA 01301
0000849542-20-000002	serviceCompany	1	Computershare	084-05925	250 Royall Street  Canton MA 02021
