ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001354488-15-001450	asServiceCompanyTransferAgent	2	Web Stock Transfer Agency Inc.	084-06451	    
0001354488-15-001450	asServiceCompanyTransferAgent	3	Mountain Share Transfer, LLC	084-05790	    
0001354488-15-001450	asServiceCompanyTransferAgent	4	GLOBEX TRANSFER, LLC	084-06307	    
0001354488-15-001446	serviceCompanyTransferAgent	1	Direct Transfer, LLC.	084-06338	    
0000950123-15-004174	asServiceCompanyTransferAgent	1	SHAREHOLDER SERVICES INC	084-00907	    
0001410578-15-000127	asServiceCompanyTransferAgent	1	Alliance Bernstein Global Investor Services, Inc.	084-01187	    
0001410578-15-000127	asServiceCompanyTransferAgent	2	American Century Services Corporation	084-01406	    
0001410578-15-000127	asServiceCompanyTransferAgent	3	American Funds Service Company	084-00316	    
0001410578-15-000127	asServiceCompanyTransferAgent	4	Boston Financial Data Services, Inc.	084-00896	    
0001410578-15-000127	asServiceCompanyTransferAgent	5	DST Systems, Inc.	084-00448	    
0001410578-15-000127	asServiceCompanyTransferAgent	6	Fidelity Investments Institutional Operations Company, Inc	084-01839	    
0001410578-15-000127	asServiceCompanyTransferAgent	7	US Bancorp Fund Services, LLC	085-11357	    
0001410578-15-000127	asServiceCompanyTransferAgent	8	Franklin Templeton Investor Services LLC	084-01036	    
0001410578-15-000127	asServiceCompanyTransferAgent	9	Harbor Services Group Inc.	084-05901	    
0001410578-15-000127	asServiceCompanyTransferAgent	10	MFS Service Center, Inc.	084-01316	    
0001410578-15-000127	asServiceCompanyTransferAgent	11	OppenheimerFunds, Inc.	084-01562	    
0001410578-15-000127	asServiceCompanyTransferAgent	12	BNY Mellon Investment Servicing	084-01761	    
0001410578-15-000127	asServiceCompanyTransferAgent	13	Putnam Investor Services Inc.	084-06331	    
0001410578-15-000127	asServiceCompanyTransferAgent	14	State Street Bank & Trust Company	085-05003	    
0001410578-15-000127	asServiceCompanyTransferAgent	15	T. Rowe Price Services, Inc.	084-01079	    
0001410578-15-000127	asServiceCompanyTransferAgent	16	Hartford Administrative Services Company	084-00353	    
0001410578-15-000127	asServiceCompanyTransferAgent	17	UMB Fund Services Inc.	084-05792	    
0001410578-15-000127	asServiceCompanyTransferAgent	18	JPMorgan Chase Bank NA	085-11399	    
0001410578-15-000127	asServiceCompanyTransferAgent	19	Pioneer Investment Management Shareholder Services, Inc.	084-01359	    
0001410578-15-000127	asServiceCompanyTransferAgent	20	Bank of New York/Mellon	085-05006	    
0001410578-15-000127	asServiceCompanyTransferAgent	21	Prudential Mutual Fund Services LLC	084-05681	    
0001410578-15-000127	asServiceCompanyTransferAgent	22	Citi Fund Services of Ohio	085-11408	    
0001410578-15-000127	asServiceCompanyTransferAgent	23	Waddell & Reed Services Company	084-01062	    
0001410578-15-000127	asServiceCompanyTransferAgent	24	Northern Trust Co.	085-05127	    
0001410578-15-000127	asServiceCompanyTransferAgent	25	SEI Institutional Transfer Agent, Inc.	084-06349	    
0001410578-15-000127	asServiceCompanyTransferAgent	26	Columbia Management Investor Services Corp	084-05685	    
0001410578-15-000127	asServiceCompanyTransferAgent	27	Bank of New York Mellon Trust Co. NA	085-11396	    
0001410578-15-000127	asServiceCompanyTransferAgent	28	Invesco Investment Services Inc.	084-05432	    
0001410578-15-000127	asServiceCompanyTransferAgent	29	Vanguard Group Inc.	084-00772	    
0001410578-15-000127	asServiceCompanyTransferAgent	30	Russel Fund Services Co.	084-06276	    
0001410578-15-000127	asServiceCompanyTransferAgent	31	State Farm Investment Management Corp	084-00839	    
0001410578-15-000127	asServiceCompanyTransferAgent	32	American Stock Transfer and Trust Company	084-00416	    
0001410578-15-000127	asServiceCompanyTransferAgent	33	Parnassus Investments	084-01519	    
0000839287-15-000003	asServiceCompanyTransferAgent	1	Goldman Sachs & Co.	084-01100	    
0000839287-15-000003	asServiceCompanyTransferAgent	2	Russell Fund Services Company	084-06276	    
0000839287-15-000003	serviceCompanyTransferAgent	1	Boston Financial Data Services, Inc.	084-00896	    
0000839287-15-000003	serviceCompanyTransferAgent	2	DST Systems, Inc.	084-00448	    
0000839287-15-000003	serviceCompanyTransferAgent	3	National Financial Data Services, Inc.	084-01078	    
0000839287-15-000003	serviceCompanyTransferAgent	4	Computershare Inc.	084-05925	    
0001354488-15-001414	serviceCompanyTransferAgent	1	Direct Transfer, LLC.	084-06338	    
0001288763-15-000002	asServiceCompanyTransferAgent	1	Computershare Trust Company of Canada	084-06112	    
0001288763-15-000002	asServiceCompanyTransferAgent	2	Computershare Trust Company, NA	085-11340	    
0001288763-15-000002	asServiceCompanyTransferAgent	3	Computershare Inc.	084-05925	    
0001288763-15-000002	serviceCompanyTransferAgent	1	Computershare Trust Company of Canada	084-06112	    
0001288763-15-000002	serviceCompanyTransferAgent	2	Computershare Trust Company, NA	085-11340	    
0001288763-15-000002	serviceCompanyTransferAgent	3	Computershare Inc.	084-05925	    
0001288777-15-000002	asServiceCompanyTransferAgent	1	Computershare Investor Services Inc.	084-06111	    
0001288777-15-000002	asServiceCompanyTransferAgent	2	Computershare Trust Company, NA	085-11340	    
0001288777-15-000002	asServiceCompanyTransferAgent	3	Computershare Inc.	084-05925	    
0001288777-15-000002	serviceCompanyTransferAgent	1	Computershare Investor Services Inc.	084-06111	    
0001288777-15-000002	serviceCompanyTransferAgent	2	Computershare Trust Company, NA	085-11340	    
0001288777-15-000002	serviceCompanyTransferAgent	3	Computershare Inc.	084-05925	    
0000788603-15-000006	asServiceCompanyTransferAgent	1	State Street Bank and Trust Company	085-05003	    
0000788603-15-000006	asServiceCompanyTransferAgent	2	DST Systems, Inc.	084-00448	    
0000788603-15-000006	asServiceCompanyTransferAgent	3	Boston Financial Data Services, Inc.	084-00896	    
0000788603-15-000006	asServiceCompanyTransferAgent	4	Goldman Sachs & Co.	084-00110	    
0000788603-15-000006	asServiceCompanyTransferAgent	5	Wallace R. Weitz & Company	084-01858	    
0000788603-15-000006	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0000788603-15-000006	serviceCompanyTransferAgent	2	Boston Financial Data Services, Inc.	084-00896	    
0000275143-15-000007	asServiceCompanyTransferAgent	1	State Street Bank and Trust Company	085-05003	    
0000275143-15-000007	asServiceCompanyTransferAgent	2	DST Systems, Inc.	084-00448	    
0000275143-15-000007	asServiceCompanyTransferAgent	3	NYLIM Service Company LLC.	084-05844	    
0000275143-15-000007	asServiceCompanyTransferAgent	4	Columbia Management Investment Services Corporation	084-05685	    
0000275143-15-000007	asServiceCompanyTransferAgent	5	Sentinel Administrative Services	084-06175	    
0000275143-15-000007	asServiceCompanyTransferAgent	6	Pioneer Investment Management Shareholder Services, Inc.	084-01359	    
0000275143-15-000007	asServiceCompanyTransferAgent	7	Principal Shareholder Services	084-05657	    
0000275143-15-000007	asServiceCompanyTransferAgent	8	MFS Services Center, Inc.	084-01316	    
0000275143-15-000007	asServiceCompanyTransferAgent	9	Transamerica Fund Services, Inc.	084-06130	    
0000275143-15-000007	asServiceCompanyTransferAgent	10	John Hancock Signature Services, Inc.	084-01885	    
0000275143-15-000007	asServiceCompanyTransferAgent	11	Hartford Administrative Services Company	084-00353	    
0000275143-15-000007	asServiceCompanyTransferAgent	12	Citibank, N.A.	085-10232	    
0000275143-15-000007	serviceCompanyTransferAgent	1	DST Systems, Inc.	084-00448	    
0000275143-15-000007	serviceCompanyTransferAgent	2	National Financial Data Services, Inc.	084-01078	    
0001434234-15-000001	serviceCompanyTransferAgent	1	DIRECT TRANSFER, LLC	084-06338	    
0001133796-15-000028	asServiceCompanyTransferAgent	1	CST Trust Company	084-06506	    
0001133796-15-000028	serviceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC	084-00416	    
0001133796-15-000028	serviceCompanyTransferAgent	2	Computershare Investor Services Inc.	084-06111	    
0001133796-15-000026	asServiceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC	084-00416	    
0001133796-15-000026	serviceCompanyTransferAgent	1	American Stock Transfer & Trust Company, LLC	084-00416	    
0001133796-15-000026	serviceCompanyTransferAgent	2	Computershare Investor Services Inc.	084-06111	    
0001133796-15-000026	serviceCompanyTransferAgent	3	CST Investor Services Inc.	084-06416	    
0001218371-15-000002	serviceCompanyTransferAgent	1	American Stock Transfer Company & Trust, LLC	084-00416	    
0001073944-15-000002	asServiceCompanyTransferAgent	1	JD Clark & Co, Inc.	084-06025	    
0001073944-15-000002	asServiceCompanyTransferAgent	2	SEI	084-01318	    
0001073944-15-000002	serviceCompanyTransferAgent	1	JD Clark & Co, Inc.	084-06025	    
0001103598-15-000003	serviceCompanyTransferAgent	1	Boston Financial Data Services Inc.	084-00896	    
0001096906-15-000308	serviceCompanyTransferAgent	1	Interwest Transfer., Inc.	084-00273	    
0001283467-15-000003	asServiceCompanyTransferAgent	1	Securities Transfer Corporation	084-01567	    
