ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001018490-25-000009	dividendAndInterest							0	0.0
0001018490-25-000009	priorAgent							0	0.0
0001018490-25-000009	transMaintainMasterSecHolder	1.0	21084.0	0.0	0.0	432.0	0.0		
0001018490-25-000009	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001018490-25-000009	directRegistrationSystem							1	
0001018490-25-000009	currentAgent							0	0.0
0001388002-25-000004	securityHolderAccounts	4.06	95.94	0.0	0.0	0.0	0.0		
0001388002-25-000004	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001388002-25-000004	dividendReinvDirectPurchasePlan							0	
0001388002-25-000004	dividendAndInterest							1936	17256199089.88
0001388002-25-000004	currentAgent							0	0.0
0001388002-25-000004	transMaintainMasterSecHolder	41.0	3800.0	0.0	0.0	0.0	0.0		
0001388002-25-000004	notTransMaintMasterSecHolder	0.0	6.0	0.0	0.0	0.0	0.0		
0001388002-25-000004	directRegistrationSystem							0	
0001388002-25-000004	priorAgent							0	0.0
0001137439-25-000257	priorAgent							0	0.0
0001137439-25-000257	dividendAndInterest							0	0.0
0001137439-25-000257	dividendReinvDirectPurchasePlan							0	
0001137439-25-000257	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001137439-25-000257	securityHolderAccounts	94.83	1.03	0.0	0.0	0.0	4.14		
0001137439-25-000257	currentAgent							0	0.0
0001137439-25-000257	directRegistrationSystem							0	
0001137439-25-000257	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001137439-25-000257	transMaintainMasterSecHolder	424.0	13.0	0.0	0.0	0.0	71.0		
0001520138-25-000095	priorAgent							0	0.0
0001520138-25-000095	directRegistrationSystem							0	
0001520138-25-000095	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000095	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000095	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000095	dividendAndInterest							0	0.0
0001520138-25-000095	dividendReinvDirectPurchasePlan							0	
0001520138-25-000095	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001520138-25-000095	currentAgent							0	0.0
0001227021-25-000004	securityHolderAccounts	64.0	0.0	0.0	4.0	0.0	32.0		
0001227021-25-000004	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001227021-25-000004	dividendReinvDirectPurchasePlan							288	
0001227021-25-000004	dividendAndInterest							20507	8819584237.25
0001227021-25-000004	transMaintainMasterSecHolder	28.0	0.0	0.0	6.0	0.0	22.0		
0001227021-25-000004	priorAgent							0	0.0
0001227021-25-000004	directRegistrationSystem							101	
0001227021-25-000004	notTransMaintMasterSecHolder	73.0	0.0	0.0	49.0	0.0	917.0		
0001227021-25-000004	currentAgent							0	0.0
0001022437-25-000002	currentAgent								
0001022437-25-000002	dividendAndInterest								
0001022437-25-000002	dividendReinvDirectPurchasePlan								
0001022437-25-000002	priorAgent								
0001022437-25-000002	securityHolderAccounts								
0001022437-25-000002	transNotMaintMasterSecHolder								
0001022437-25-000002	directRegistrationSystem								
0001022437-25-000002	notTransMaintMasterSecHolder								
0001022437-25-000002	transMaintainMasterSecHolder								
0000810704-25-000002	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	0.0		
0000810704-25-000002	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000810704-25-000002	dividendReinvDirectPurchasePlan							0	
0000810704-25-000002	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000810704-25-000002	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000810704-25-000002	dividendAndInterest							0	0.0
0000810704-25-000002	currentAgent							0	0.0
0000810704-25-000002	priorAgent							0	0.0
0000810704-25-000002	directRegistrationSystem							0	
0000737074-25-000001	dividendReinvDirectPurchasePlan							0	
0000737074-25-000001	dividendAndInterest							0	0.0
0000737074-25-000001	currentAgent							0	0.0
0000737074-25-000001	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	0.0		
0000737074-25-000001	priorAgent							0	0.0
0000737074-25-000001	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000737074-25-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000737074-25-000001	directRegistrationSystem							0	
0000737074-25-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000838966-25-000004	currentAgent							0	0.0
0000838966-25-000004	dividendAndInterest							35068	2993977482.71
0000838966-25-000004	dividendReinvDirectPurchasePlan							0	
0000838966-25-000004	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	112.0	0.0		
