ACCESSION_NUMBER	COMPANY_TYPE	SVCCOMPANY_ID	ENTITYNAME	FILENUMBER	ADDRESS
0001558234-18-000002	serviceCompany	2	DST Systems, Inc.	084-00448	333 W 11th Street 5th Fl  Kansas City MO 64105
0000027048-18-000004	asServiceCompany	1	Thrivent Financial Investor Services, Inc.	084-01547	4321 N Ballard Rd  Appleton WI 54919
0000027048-18-000004	asServiceCompany	2	State Street Bank & Trust Company	085-05003	One Lincoln Street  Boston MA 02111-2900
0000027048-18-000004	asServiceCompany	3	DeAWM Service Company	084-01713	222 South Riverside Plaza  Chicago IL 60606
0000027048-18-000004	asServiceCompany	4	State Farm Investment Management Corp	084-00839	Three State Farm Plaza  Bloomington IL 61709
0000027048-18-000004	asServiceCompany	5	Transamerica Fund Services, Inc.	084-06130	1801 California St Suite 5200 Denver CO 80202
0000027048-18-000004	asServiceCompany	6	American Century Services, LLC	084-01406	4500 Main Street  Kansas City MO 64111
0000027048-18-000004	asServiceCompany	7	Morgan Stanley Services Co Inc	084-06270	Harborside Financial Center Plaza Two, Third Floor Jersey City NJ 07311
0000027048-18-000004	asServiceCompany	8	Leaf Financial Corporation	084-05900	1845 Walnut St Ste 100 Philadelphia PA 19103
0000027048-18-000004	asServiceCompany	9	Pioneer Investment Management Shareholder Services, Inc	084-01359	60 State Street  Boston MA 02109
0000027048-18-000004	asServiceCompany	10	Goldman, Sachs & Co	084-01100	71 South Wacker Drive Suite 400 Chicago IL 60606
0000027048-18-000004	asServiceCompany	11	OFI Global Asset Management, Inc.	084-06477	6803 South Tucson Way  Centennial CO 80112
0000027048-18-000004	serviceCompany	1	DST Asset Manager Solutions	084-00896	2000 Crown Colony Dr  Quincy MA 02169
0000027048-18-000004	serviceCompany	2	DST Worldwide Services India Private Limited	084-06342	5th Floor, Block B, Q City Nanakramguda, Gachibowli Hyderabad K7 500032
0000027048-18-000004	serviceCompany	3	DST Worldwide Services India Private Limited	084-06342	1st Floor, Block A, Q City Nanakramguda, Gachibowli Hyderabad K7 500032
0000027048-18-000004	serviceCompany	4	DST Worldwide Services India Private Limited	084-06342	Suite 201, Building 7, Commerzone Samrat Ashok Path Road, Yerawada Pune K7 411006
0000842657-18-000017	serviceCompany	1	DST Systems, Inc.	084-00448	333 West 11th Street  Kansas City MO 64105
0001419454-18-000004	asServiceCompany	1	Fidelity Investments Institutional Operations Company, Inc.	084-01839	245 Summer Street  Boston MA 02210
0001535872-18-000002	serviceCompany	1	TSX TRUST CO.	084-06502	301-100 Adelaide Street West  Toronto A6 M5H 4H1
0000842657-18-000015	serviceCompany	1	DST Systems, Inc.	084-00448	333 West 11th Street  Kansas City MO 64105
0001104659-18-030965	asServiceCompany	1	Alliance Bernstein Investor Services, Inc.	084-01187	8000 INERSTATE HWY 10 WEST  SAN ANTONIO TX 78230
0001104659-18-030965	asServiceCompany	2	Alps Fund Services, Inc.	084-05730	P.O. BOX 328  Denver CO 80201-0328
0001104659-18-030965	asServiceCompany	3	American Century Services Corporation	084-01406	4500 MAIN ST  KANSAS CITY MO 64111
0001104659-18-030965	asServiceCompany	4	American Funds Service Company	084-00316	6455 IRVINE CENTER DRIVE  IRVINE CA 92618-4518
0001104659-18-030965	asServiceCompany	5	American Stock Transfer and Trust Company	084-00416	6201 15TH AVENUE  BROOKLYN NY 11219
0001104659-18-030965	asServiceCompany	6	Bank of New York Mellon Trust Co. NA	085-11396	700 SOUTH FLOWER STREET 2ND FLOOR LOS ANGELES CA 90017
0001104659-18-030965	asServiceCompany	7	Bank of New York Mellon\TA	085-05006	101 BARCLAY ST  NEW YORK NY 10286
0001104659-18-030965	asServiceCompany	8	BNY Mellon Investment Servicing	084-01761	4400 COMPUTER DRIVE  WESTBOROUGH MA 01581
0001104659-18-030965	asServiceCompany	9	DST Asset Manager Solutions, Inc./TA	084-00896	2000 CROWN COLONY DRIVE  QUINCY MA 02169
0001104659-18-030965	asServiceCompany	10	Columbia Management Investor Services Corp	084-05685	225 FRANKLIN STREET 25TH FLOOR BOSTON MA 02110
0001104659-18-030965	asServiceCompany	11	Diamond Hill	084-06385	325 JOHN H. MCCONNELL BLVD SUITE 200 COLUMBUS OH 43215
0001104659-18-030965	asServiceCompany	12	DST Systems, Inc.	084-00448	210 W 10TH ST  KANSAS CITY MO 64105
