ACCESSION_NUMBER	ACCT_HOLDER_TYPE	EQUITYSECURITY	DEBTSECURITY	OPENENDINVESTMENTCOMPANY	LIMITEDPARTNERSHIP	MUNICIPALDEBT	OTHER	NUMBERISSUES	AMOUNTISSUES
0001359797-14-000002	dividendReinvDirectPurchasePlan								
0001359797-14-000002	dividendAndInterest								
0001359797-14-000002	currentAgent								
0001359797-14-000002	directRegistrationSystem								
0001144204-14-020180	transMaintainMasterSecHolder	0.0	0.0	1.0	4.0	0.0	6.0		
0001144204-14-020180	securityHolderAccounts	0.0	0.0	6.0	68.0	0.0	26.0		
0001144204-14-020180	priorAgent							0	0.0
0001144204-14-020180	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001144204-14-020180	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001144204-14-020180	directRegistrationSystem							0	
0001144204-14-020180	currentAgent							0	0.0
0001144204-14-020180	dividendReinvDirectPurchasePlan							0	
0001144204-14-020180	dividendAndInterest							0	0.0
0001604325-14-000003	transNotMaintMasterSecHolder								
0001604325-14-000003	transMaintainMasterSecHolder								
0001604325-14-000003	securityHolderAccounts								
0001604325-14-000003	priorAgent								
0001604325-14-000003	notTransMaintMasterSecHolder								
0001604325-14-000003	dividendReinvDirectPurchasePlan								
0001604325-14-000003	dividendAndInterest								
0001604325-14-000003	currentAgent								
0001604325-14-000003	directRegistrationSystem								
0001118414-14-000001	currentAgent							0	0.0
0001118414-14-000001	directRegistrationSystem							1	
0001118414-14-000001	dividendAndInterest							1	8647406.04
0001118414-14-000001	dividendReinvDirectPurchasePlan							1	
0001118414-14-000001	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001118414-14-000001	priorAgent							0	0.0
0001118414-14-000001	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001118414-14-000001	transMaintainMasterSecHolder	27.0	0.0	0.0	0.0	0.0	0.0		
0001118414-14-000001	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000740583-14-000158	transMaintainMasterSecHolder	0.0	0.0	0.0	0.0	0.0	310.0		
0000740583-14-000158	transNotMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000740583-14-000158	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0000740583-14-000158	priorAgent							0	0.0
0000740583-14-000158	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0000740583-14-000158	dividendReinvDirectPurchasePlan							0	
0000740583-14-000158	dividendAndInterest							0	0.0
0000740583-14-000158	directRegistrationSystem							0	
0000740583-14-000158	currentAgent							0	0.0
0001354488-14-001582	dividendReinvDirectPurchasePlan							0	
0001354488-14-001580	currentAgent							0	0.0
0001354488-14-001582	directRegistrationSystem							0	
0001354488-14-001582	dividendAndInterest							2	117108.86
0001354488-14-001582	notTransMaintMasterSecHolder	0.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001582	priorAgent							0	0.0
0001354488-14-001582	securityHolderAccounts	100.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001582	transMaintainMasterSecHolder	87.0	0.0	0.0	0.0	0.0	0.0		
0001354488-14-001582	transNotMaintMasterSecHolder	16.0	0.0	0.0	0.0	0.0	0.0		
0001179706-14-000028	currentAgent								
0001179706-14-000028	directRegistrationSystem								
0001179706-14-000028	dividendAndInterest								
0001179706-14-000028	dividendReinvDirectPurchasePlan								
0001179706-14-000028	notTransMaintMasterSecHolder								
0001179706-14-000028	priorAgent								
0001179706-14-000028	securityHolderAccounts	0.0	0.0	0.0	0.0	0.0	100.0		
0001179706-14-000028	transMaintainMasterSecHolder								
0001179706-14-000028	transNotMaintMasterSecHolder								
0001060257-14-000003	currentAgent							0	0.0
0001060257-14-000003	directRegistrationSystem							25	
0001060257-14-000003	dividendAndInterest							723	4408369578.75
0001060257-14-000003	dividendReinvDirectPurchasePlan							8	
